Team,Mascot,City,Division,Conference
Arizona Cardinals,Cardinals,Phoenix,NFC West,NFC
Atlanta Falcons,Falcons,Atlanta,NFC South,NFC
Baltimore Ravens,Ravens,Baltimore,AFC North,AFC
Buffalo Bills,Bills,Buffalo,AFC East,AFC
Carolina Panthers,Panthers,Charlotte,NFC South,NFC
Chicago Bears,Bears,Chicago,NFC North,NFC
Cincinnati Bengals,Bengals,Cincinnati,AFC North,AFC
Cleveland Browns,Browns,Cleveland,AFC North,AFC
Dallas Cowboys,Cowboys,Dallas,NFC East,NFC
Denver Broncos,Broncos,Denver,AFC West,AFC
Detroit Lions,Lions,Detroit,NFC North,NFC
Green Bay Packers,Packers,Green Bay,NFC North,NFC
Houston Texans,Texans,Houston,AFC South,AFC
Indianapolis Colts,Colts,Indianapolis,AFC South,AFC
Jacksonville Jaguars,Jaguars,Jacksonville,AFC South,AFC
Kansas City Chiefs,Chiefs,Kansas City,AFC West,AFC
Las Vegas Raiders,Raiders,Las Vegas,AFC West,AFC
Los Angeles Chargers,Chargers,Los Angeles,AFC West,AFC
Los Angeles Rams,Rams,Los Angeles,NFC West,NFC
Miami Dolphins,Dolphins,Miami,AFC East,AFC
Minnesota Vikings,Vikings,Minneapolis,NFC North,NFC
New England Patriots,Patriots,Foxborough,AFC East,AFC
New Orleans Saints,Saints,New Orleans,NFC South,NFC
New York Giants,Giants,New York,NFC East,NFC
New York Jets,Jets,New York,AFC East,AFC
Philadelphia Eagles,Eagles,Philadelphia,NFC East,NFC
Pittsburgh Steelers,Steelers,Pittsburgh,AFC North,AFC
San Francisco 49ers,49ers,San Francisco,NFC West,NFC
Seattle Seahawks,Seahawks,Seattle,NFC West,NFC
Tampa Bay Buccaneers,Buccaneers,Tampa,NFC South,NFC
Tennessee Titans,Titans,Nashville,AFC South,AFC
Washington Commanders,Commanders,Washington,NFC East,NFC
